"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","#"
"BT1","1","Battery_Cell","","","","Ehryk:Keystone_1043","","1"
"C1,C2,C4,C5,C7,C8,C9","7","0.1µF","","","","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","","2"
"C3,C6","2","10µF","","","","Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder","","3"
"D1","1","RED","","","","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","","4"
"J1","1","Conn_01x06_Socket","","","","Connector_PinSocket_2.00mm:PinSocket_1x06_P2.00mm_Vertical_SMD_Pin1Left","","5"
"Q1","1","AO3401A","","","","Package_TO_SOT_SMD:SOT-23","http://www.aosmd.com/pdfs/datasheet/AO3401A.pdf","6"
"Q2","1","MMBT3904","","","","Package_TO_SOT_SMD:SOT-23","https://www.onsemi.com/pdf/datasheet/pzt3904-d.pdf","7"
"R2,R3,R4","3","4.7kΩ","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","","8"
"R5,R6,R11","3","10kΩ","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","","9"
"R7","1","220kΩ","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","","10"
"R8","1","470kΩ","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","","11"
"R9","1","47kΩ","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","","12"
"R10","1","2.2kΩ","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","","13"
"U1","1","ESP32-C3-WROOM-02","","","","RF_Module:ESP32-C3-WROOM-02","https://www.espressif.com/sites/default/files/documentation/esp32-c3-wroom-02_datasheet_en.pdf","14"
"U2","1","DW01A","","","","Package_TO_SOT_SMD:SOT-23-6","https://hmsemi.com/downfile/DW01A.PDF","15"
"U3","1","8205A","","","","Ehryk:SOT95P285X140-6N","","16"
"U4","1","OPT3001DNPRQ1","","","","Ehryk:SON65P200X200X65-7N","","17"
"U5","1","MCP1700x-330xxTT","","","","Package_TO_SOT_SMD:SOT-23","http://ww1.microchip.com/downloads/en/DeviceDoc/20001826D.pdf","18"
"U6","1","TMP117xxDRV","","","","Package_SON:WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm","https://www.ti.com/lit/ds/symlink/tmp117.pdf","19"
